vehiculo_specs_key,ejes,llantas,largo_m,ancho_m,alto_m
230,3,10,10.2,2.6,3.9
231,2,6,9.85,2.6,3.47
232,2,,5.2,2.05,2.35
233,2,,5.5,2.5,2.4
234,2,,0.0,0.0,0.0
235,2,6,9.51,2.6,3.985
236,4,12,12.35,2.6,3.6
237,2,6,9.4,2.6,3.5
238,2,6,12.2,2.6,3.35
239,2,6,9.1,2.55,3.6
240,2,6,10.2,2.6,3.7
241,2,6,11.05,2.6,4.05
242,2,6,10.31,2.6,4.1
243,2,6,9.3,2.6,3.6
244,2,,5.1,2.14,2.33
245,2,4,5.1,2.14,2.33
246,2,,5.71,2.0,2.86
247,2,4,6.05,2.46,3.22
248,2,,5.1,2.14,2.35
249,2,6,8.25,2.57,3.31
250,3,10,8.44,2.48,3.15
251,3,10,10.4,2.6,3.4
252,2,6,9.52,2.6,3.9
253,3,10,9.905,2.6,3.0
254,4,12,11.7,2.6,4.0
255,3,,9.9,2.6,3.5
256,3,10,9.63,2.48,3.3
257,2,4,5.16,2.16,2.72
258,4,12,11.0,2.6,3.7
259,3,10,11.75,2.6,4.2
260,3,10,11.4,2.6,4.1
261,3,10,9.5,2.5,3.8
262,3,10,11.62,2.6,4.1
263,2,6,13.2,2.6,4.1
264,4,,5.1,2.0,2.0
265,3,10,11.38,2.6,3.87
266,2,4,5.1,2.0,2.43
267,4,12,11.5,2.6,3.8
268,3,10,11.2,2.6,4.0
269,3,10,11.5,2.6,3.4
270,4,12,11.4,2.6,3.9
271,4,12,11.7,2.6,4.1
272,2,,5.1,2.0,1.8
273,3,10,11.7,2.6,3.8
274,2,6,7.17,2.6,2.8
275,3,10,12.5,2.6,4.0
276,4,12,12.82,2.6,4.1
277,3,10,9.6,2.6,3.3
278,3,10,9.7,2.6,3.75
279,3,10,11.0,2.6,3.8
280,3,10,10.2,2.6,4.1
281,3,10,12.2,2.6,3.75
282,4,12,12.4,2.6,4.1
283,2,6,8.95,2.44,3.2
284,3,10,10.6,2.6,3.6
285,2,6,8.93,2.6,3.75
286,2,6,9.91,2.5,3.43
287,3,10,10.2,2.55,3.55
288,3,10,10.5,2.5,3.45
289,3,10,10.4,2.6,3.62
290,3,10,8.98,2.6,3.64
291,3,8,11.0,2.6,3.9
292,3,10,8.7,2.5,3.5
293,3,10,10.1,2.6,3.5
294,3,10,10.148,2.486,3.692
295,3,10,9.27,2.6,3.74
296,3,10,11.6,2.6,3.8
297,3,10,11.85,2.6,4.1
298,3,10,9.452,2.494,2.942
299,2,,8.5,2.4,0.0
300,3,10,10.9,2.6,3.7
301,3,10,10.15,2.6,3.85
302,3,10,11.0,2.6,3.7
303,3,10,10.8,2.6,2.45
304,3,10,9.45,2.5,3.7
305,3,10,12.0,2.6,4.0
306,4,12,11.0,2.6,4.1
307,3,10,10.65,2.6,3.7
308,3,,12.0,2.4,2.98
309,3,10,9.45,2.6,3.1
310,3,10,6.2,2.4,2.9
311,3,10,11.8,2.6,4.1
312,3,10,9.5,2.6,3.78
313,3,10,9.05,2.494,3.25
314,4,12,12.8,2.6,4.0
315,4,12,11.6,2.6,3.8
316,3,10,10.95,2.6,4.05
317,3,10,11.31,2.6,3.525
318,3,10,12.3,2.6,4.1
319,3,10,10.45,2.6,3.9
320,4,12,11.28,2.56,3.4
321,4,12,13.6,2.6,3.8
322,3,10,11.328,2.486,3.2
323,2,6,10.0,2.6,4.0
324,4,12,11.6,2.6,3.9
325,4,12,12.1,2.6,3.9
326,4,12,10.4,2.6,3.4
327,3,10,10.65,2.6,3.8
328,4,12,10.4,2.6,3.45
329,3,10,10.06,2.6,3.82
330,2,6,8.4,2.5,3.0
331,2,6,7.6,2.55,3.5
332,3,10,10.8,2.6,4.0
333,3,,9.0,2.4,2.9
334,3,,6.85,2.44,2.95
335,3,,6.5,2.4,3.75
336,3,10,10.8,2.6,3.0
337,4,14,11.93,2.6,3.6
338,4,12,11.9,2.6,3.8
339,4,12,11.85,2.6,4.1
340,3,10,10.4,2.6,3.6
341,4,12,11.35,2.6,3.9
342,3,10,10.63,2.6,4.1
343,2,6,7.0,2.6,3.0
344,3,10,8.9,2.6,3.36
345,3,,9.0,2.46,2.9
346,3,10,11.2,2.6,3.94
347,3,10,11.55,2.6,4.1
348,3,10,10.43,2.6,3.9
349,3,10,10.0,2.6,3.95
350,3,10,11.85,2.6,3.4
351,3,10,11.9,2.6,3.9
352,4,12,12.5,2.6,4.1
353,3,10,10.52,2.55,3.56
354,3,10,11.4,2.6,3.7
355,3,,9.0,2.47,2.9
356,3,10,10.1,2.6,3.8
357,3,10,11.75,2.43,3.9
358,4,12,11.6,2.6,4.1
359,3,10,11.5,2.6,3.9
360,4,12,11.15,2.6,3.6
361,3,10,11.9,2.6,3.85
362,3,10,12.85,2.6,3.98
363,3,10,9.5,2.6,3.15
364,3,10,7.83,2.6,3.1
365,2,4,5.5,1.83,2.47
366,3,10,11.4,2.6,4.0
367,3,10,9.5,2.6,3.8
368,3,10,12.7,2.6,4.0
369,4,12,12.0,2.6,3.8
370,3,10,11.75,2.6,4.1
371,4,12,12.24,2.6,3.9
372,2,,8.792,2.5,3.7
373,2,4,5.3,2.1,2.98
374,2,4,4.83,1.99,2.35
375,2,,5.59,1.92,2.5
376,4,12,10.1,2.5,3.5
377,2,,5.59,1.92,2.6
378,2,6,10.06,2.6,3.82
379,3,10,10.3,2.6,3.8
380,3,10,11.0,2.6,4.1
381,3,10,10.8,2.6,3.8
382,3,10,11.3,2.6,4.0
383,4,14,10.95,2.6,3.65
384,3,10,9.95,2.6,3.7
385,2,6,9.5,2.6,3.8
386,2,6,9.88,2.56,3.8
387,3,10,10.2,2.6,3.2
388,4,14,11.3,2.6,4.1
389,3,10,10.5,2.6,3.5
390,2,6,9.8,2.6,3.8
391,2,6,8.45,2.4,3.1
392,2,6,7.66,2.6,3.9
393,2,4,5.64,1.92,2.6
394,4,14,10.0,2.6,3.35
395,4,12,11.3,2.6,3.5
396,4,12,11.5,2.6,3.6
397,3,10,11.33,2.6,4.1
398,3,10,10.3,2.57,3.285
399,2,,5.58,1.99,2.57
400,3,10,10.85,2.5,3.5
401,4,12,10.8,2.6,4.1
402,3,10,11.73,2.6,4.08
403,4,12,10.6,2.6,3.6
404,3,10,11.3,2.6,4.1
405,4,12,12.0,2.6,3.85
406,2,6,10.0,2.6,3.7
407,3,10,8.35,2.6,3.1
408,4,12,10.5,2.6,3.5
409,2,6,7.66,2.42,3.42
410,2,4,5.58,1.99,2.57
411,3,10,11.9,2.6,3.7
412,2,6,8.8,2.56,3.58
413,3,10,10.6,2.6,3.75
414,3,10,10.5,2.5,3.8
415,2,6,10.15,2.6,3.82
416,4,12,10.8,2.6,3.9
417,4,12,11.7,2.6,4.05
418,2,6,9.06,2.6,3.95
419,2,4,5.9,2.1,2.9
420,3,10,12.5,2.6,4.1
421,2,6,6.6,2.45,2.6
422,2,6,8.55,2.6,3.9
423,2,4,5.58,1.99,2.59
424,3,10,11.25,2.6,3.9
425,2,6,7.5,2.4,2.6
426,2,4,5.64,1.92,2.59
427,4,12,11.4,2.6,4.1
428,2,,5.64,1.92,2.59
429,4,12,12.45,2.6,4.1
430,3,10,11.3,2.6,3.2
431,2,6,9.0,2.6,3.05
432,3,10,10.4,2.6,3.85
433,4,12,11.7,2.6,3.7
434,2,6,10.14,2.6,4.1
435,2,6,9.1,2.52,3.55
436,2,6,8.9,2.45,3.1
437,2,6,6.18,2.42,3.41
438,4,12,8.6,2.6,3.61
439,4,12,10.85,2.6,3.65
440,4,12,9.5,2.5,3.25
441,4,12,11.8,2.6,4.1
442,3,10,11.5,2.6,3.95
443,4,12,11.55,2.6,4.1
444,4,12,13.2,2.6,4.1
445,4,12,11.75,2.6,4.05
446,3,10,11.7,2.6,3.4
447,3,10,10.1,2.6,3.7
448,4,12,11.7,2.6,3.85
449,3,10,12.86,2.6,4.1
450,4,12,12.343,2.6,3.65
451,4,14,11.1,2.6,3.7
452,3,10,11.2,2.6,3.6
453,3,10,10.5,2.6,3.7
454,3,10,11.424,2.6,4.015
455,3,10,11.7,2.6,3.5
456,3,10,11.9,2.6,3.8
457,3,10,11.4,2.6,3.2
458,4,12,11.5,2.6,3.75
459,3,10,10.8,2.6,4.1
460,4,12,11.35,2.6,4.0
461,4,12,11.5,2.6,4.05
462,3,10,10.7,2.6,3.55
463,2,6,9.9,2.6,3.9
464,3,10,11.5,2.6,3.85
465,2,6,6.4,2.2,2.4
466,2,6,7.3,2.4,2.6
467,2,6,7.5,2.5,3.0
468,2,,6.5,2.2,2.4
469,2,6,7.4,2.4,3.3
470,2,6,11.06,2.55,3.2
471,3,,10.4,2.6,3.5
472,2,6,5.5,2.25,2.96
473,2,,7.2,2.4,3.1
474,2,6,7.94,2.5,2.97
475,2,6,8.74,2.6,2.8
476,2,6,9.3,2.6,3.65
477,2,6,8.75,2.6,2.9
478,2,6,8.0,2.5,2.9
479,2,6,6.27,2.56,2.62
480,4,12,12.2,2.6,3.75
481,2,6,9.35,2.6,3.75
482,2,6,9.9,2.6,3.6
483,3,10,11.48,2.6,4.05
484,4,12,11.8,2.6,3.65
485,4,12,12.4,2.6,3.65
486,4,12,8.65,2.6,3.6
487,4,12,10.6,2.6,3.3
488,4,12,11.7,2.6,3.9
489,2,6,6.59,1.99,2.61
490,3,10,10.9,2.6,3.5
491,3,10,10.9,2.6,3.8
492,3,10,11.2,2.6,3.7
493,2,6,6.9,2.0,2.4
494,3,10,11.1,2.6,3.85
495,2,4,5.926,1.993,2.86
496,4,12,10.45,2.6,3.47
497,3,10,9.6,2.56,3.85
498,4,12,11.7,2.6,3.95
499,4,12,10.4,2.6,3.6
500,4,14,11.9,2.6,3.8
501,4,12,11.08,2.6,3.7
502,3,10,11.83,2.6,4.08
503,2,,8.66,2.6,3.75
504,3,10,10.9,2.6,3.55
505,3,10,12.16,2.49,4.1
506,3,10,10.24,2.6,3.55
507,3,10,9.5,2.6,3.82
508,4,14,12.2,2.6,4.1
509,2,6,9.4,2.6,2.9
510,4,12,12.0,2.6,4.1
511,3,10,10.45,2.6,3.55
512,2,6,6.9,2.45,2.88
513,2,6,6.7,2.4,2.9
514,2,6,9.25,2.6,3.5
515,3,10,11.3,2.6,3.8
516,2,6,6.3,2.6,3.2
517,2,,8.8,2.5,3.3
518,2,6,9.0,2.32,2.56
519,2,6,8.9,2.45,3.25
520,2,6,8.0,2.45,3.27
521,2,,8.66,2.4,1.73
522,2,6,9.15,2.58,3.78
523,3,10,10.0,2.52,3.75
524,2,6,9.2,2.6,3.7
525,2,6,9.3,2.55,3.8
526,3,10,10.6,2.6,3.7
527,4,12,12.45,2.6,3.6
528,4,12,11.45,2.6,3.65
529,2,6,11.0,2.6,4.05
530,3,8,9.0,2.6,3.6
531,2,6,9.0,2.55,3.2
532,2,6,9.1,2.4,3.4
533,2,6,8.66,2.47,3.56
534,2,6,9.05,2.6,4.1
535,2,6,9.1,2.45,3.7
536,2,6,8.95,2.4,3.5
537,2,6,11.0,2.4,4.05
538,2,6,8.98,2.6,3.72
539,2,6,8.9,2.55,3.45
540,2,6,11.71,2.42,3.15
541,2,6,9.0,2.56,3.3
542,2,6,9.1,2.46,3.55
543,3,10,10.82,2.6,4.1
544,2,6,8.9,2.55,3.6
545,2,6,8.43,2.49,3.13
546,2,6,7.52,2.44,3.33
547,2,6,9.15,2.55,3.0
548,2,6,8.64,2.6,3.29
549,2,6,7.61,2.6,3.95
550,2,6,8.5,2.5,3.5
551,2,6,9.2,2.6,3.5
552,2,6,8.07,2.54,3.41
553,2,6,9.2,2.6,4.05
554,2,6,6.7,2.6,3.88
555,2,6,9.4,2.4,3.4
556,2,6,9.25,2.6,3.67
557,2,6,8.85,2.6,3.41
558,2,6,8.1,2.4,2.92
559,2,6,9.3,2.4,3.9
560,2,6,9.23,2.6,4.1
561,2,6,8.85,2.6,3.3
562,3,10,6.817,2.5,3.948
563,3,10,6.817,2.5,3.938
564,2,6,8.9,2.6,3.27
565,3,6,6.817,2.5,3.638
566,3,10,6.817,2.5,3.803
567,3,10,6.817,2.5,3.638
568,3,10,3.817,2.5,3.948
569,3,10,9.0,2.6,3.2
570,3,6,6.817,2.5,3.803
571,3,,6.817,2.5,3.948
572,4,12,11.7,2.6,3.65
573,2,6,11.53,2.6,4.1
574,2,6,8.95,2.6,3.4
575,3,10,11.5,2.6,3.5
576,3,10,11.8,2.6,4.0
577,3,10,12.2,2.6,4.1
578,4,12,12.1,2.6,4.1
579,3,10,11.2,2.6,3.9
580,3,10,10.1,2.6,3.25
581,3,10,11.5,2.6,3.75
582,4,14,11.3,2.6,3.6
583,4,12,11.0,2.6,3.9
584,3,,9.45,2.56,3.7
585,3,10,10.57,2.6,3.9
586,3,10,11.2,2.6,3.2
587,3,12,9.7,2.6,3.6
588,4,14,12.3,2.6,4.1
589,4,12,11.75,2.6,3.9
590,4,14,11.4,2.6,3.8
591,3,10,11.7,2.6,3.9
592,3,10,11.42,2.55,4.1
593,3,10,11.7,2.6,3.6
594,4,12,11.3,2.6,3.6
595,2,6,9.7,2.6,3.4
596,2,4,5.926,1.993,2.77
597,3,10,10.9,2.6,4.0
598,3,10,10.4,2.6,4.0
599,4,12,10.9,2.6,3.8
600,3,10,11.6,2.6,3.95
601,3,10,12.05,2.6,4.1
602,3,10,10.25,2.6,3.6
603,3,10,12.6,2.6,4.1
604,3,10,10.5,2.6,3.6
605,4,,8.6,2.6,3.62
606,4,12,11.9,2.6,3.9
607,3,10,6.85,2.5,2.65
608,2,4,5.932,2.02,2.79
609,3,10,11.5,2.6,3.6
610,3,10,11.43,2.6,4.05
611,3,10,9.5,2.6,3.9
612,4,12,10.9,2.6,3.9
613,4,12,11.643,2.606,3.65
614,3,10,9.47,2.6,3.65
615,4,12,10.3,2.6,3.4
616,3,10,11.45,2.6,3.75
617,2,4,5.932,2.02,2.438
618,3,10,9.0,2.6,4.1
619,2,4,5.932,2.02,2.708
620,3,10,11.1,2.6,3.8
621,3,10,10.7,2.6,3.7
622,2,6,6.8,2.4,2.9
623,3,10,11.8,2.6,3.8
624,3,10,9.7,2.6,3.8
625,4,12,9.715,2.5,3.39
626,3,10,12.1,2.6,3.9
627,4,12,11.4,2.6,3.98
628,3,10,10.95,2.6,3.6
629,3,10,13.2,2.6,4.15
630,2,6,7.0,2.3,3.1
631,2,,8.8,2.45,3.1
632,2,,8.0,2.6,2.7
633,2,6,7.05,2.46,2.6
634,2,,7.0,2.4,2.8
635,2,,6.52,2.45,2.6
636,2,,7.92,2.48,3.45
637,4,12,12.7,2.6,4.1
638,3,10,7.8,2.6,3.5
639,3,10,11.25,2.6,3.55
640,2,,5.99,2.0,2.1
641,2,6,5.99,2.0,2.1
642,2,6,8.0,2.45,2.7
643,3,10,9.8,2.5,3.15
644,3,10,11.25,2.6,3.4
645,4,12,10.7,2.6,3.7
646,3,10,10.98,2.6,4.05
647,3,10,11.35,2.6,3.2
648,2,6,5.94,2.5,2.99
649,2,,5.94,2.5,2.99
650,2,6,59.4,25.0,29.95
651,2,6,5.8,2.5,2.3
652,4,14,12.1,2.6,3.8
653,2,,5.8,2.3,2.5
654,3,10,11.0,2.6,3.79
655,4,12,12.0,2.6,4.05
656,2,,7.16,2.6,3.0
657,2,6,7.79,2.44,3.0
658,3,10,11.43,2.6,4.1
659,4,12,10.35,2.55,3.35
660,3,10,9.45,2.56,3.7
661,3,,11.5,2.5,3.15
662,4,12,10.6,2.6,3.7
663,3,10,11.6,2.6,4.0
664,2,6,8.7,2.43,2.65
665,3,10,11.35,2.6,3.85
666,4,12,11.6,2.6,3.7
667,4,12,10.2,2.6,4.1
668,2,,8.32,2.35,2.67
669,2,,10.0,2.53,3.82
670,2,,9.41,2.46,2.72
671,2,6,9.22,2.49,2.87
672,2,6,8.4,2.5,3.75
673,2,,8.7,2.6,2.93
674,2,6,8.8,2.51,2.58
675,3,10,10.8,2.6,3.7
676,4,12,11.5,2.6,3.9
677,2,6,8.5,2.52,2.9
678,3,10,11.45,2.6,3.6
679,3,10,10.2,2.5,3.85
680,4,12,11.55,2.5,3.6
681,3,10,10.8,2.6,3.79
682,4,12,11.45,2.6,3.19
683,2,6,8.7,2.53,3.44
684,3,10,9.9,2.5,3.62
685,4,12,12.83,2.6,4.1
686,2,,8.7,2.6,3.45
687,3,10,11.4,2.6,3.5
688,3,10,9.3,2.6,2.4
689,3,10,11.57,2.6,4.07
690,3,10,11.31,2.6,3.2
691,3,10,10.2,2.6,3.3
692,3,10,12.1,2.6,4.05
693,3,10,9.5,2.6,4.1
694,4,12,10.5,2.6,3.6
695,3,10,9.7,2.6,3.5
696,3,10,9.95,2.6,3.1
697,4,12,11.3,2.6,4.0
698,3,,11.0,2.6,4.0
699,2,6,10.0,2.5,3.49
700,3,10,9.55,2.6,3.8
701,2,6,8.92,2.6,3.87
702,3,10,10.5,2.6,3.9
703,2,6,8.215,2.494,3.281
704,2,6,7.644,2.582,3.983
705,3,10,7.655,2.6,3.31
706,3,10,11.649,2.6,3.881
707,3,10,10.55,2.5,4.0
708,3,10,7.68,2.6,3.42
709,3,10,7.117,2.483,3.428
710,3,10,10.32,2.6,3.42
711,4,12,11.8,2.6,3.85
712,3,10,9.843,2.6,3.35
713,4,14,11.6,2.6,3.8
714,3,10,11.95,2.6,3.8
715,4,14,11.5,2.6,4.1
716,3,10,9.843,2.6,3.8
717,3,10,11.3,2.6,3.7
718,3,10,7.7,2.483,3.3
719,3,10,11.2,2.6,3.8
720,3,10,11.52,2.6,3.92
721,3,10,7.725,2.6,3.5
722,4,12,12.3,2.6,4.0
723,3,10,11.0,2.6,3.6
724,4,14,11.5,2.6,3.7
725,3,10,12.31,2.6,4.1
726,4,12,11.95,2.6,3.86
727,3,10,7.67,2.55,3.45
728,2,6,9.2,2.6,3.4
729,3,10,7.8,2.52,3.58
730,4,12,12.5,2.6,3.8
731,4,12,12.0,2.6,3.55
732,2,6,9.25,2.45,3.68
733,3,10,10.9,2.6,3.95
734,2,,9.0,2.4,2.5
735,3,10,11.143,2.6,3.55
736,3,10,9.5,2.6,3.6
737,4,12,10.85,2.5,4.05
738,3,10,7.617,2.6,3.8
739,3,10,9.25,2.56,3.47
740,3,10,11.0,2.6,3.65
741,4,12,11.7,2.5,3.0
742,3,10,7.95,2.6,3.5
743,3,10,7.703,2.6,3.427
744,3,10,8.15,2.5,4.15
745,3,10,8.55,2.48,3.5
746,3,10,7.9,2.6,4.2
747,3,10,9.9,2.6,3.4
748,4,12,11.25,2.6,3.6
749,2,,9.13,2.6,2.8
750,2,6,8.6,2.5,3.1
751,3,10,12.75,2.6,3.95
752,3,10,8.1,2.6,4.2
753,3,10,7.98,2.55,3.58
754,4,12,11.65,2.6,4.1
755,4,14,12.45,2.6,3.95
756,3,10,10.65,2.6,3.95
757,3,10,12.5,2.6,3.85
758,2,6,10.5,3.1,3.9
759,3,10,8.8,2.6,3.5
760,3,10,8.0,2.55,3.428
761,3,10,12.2,2.6,3.2
762,3,10,11.649,2.6,3.81
763,3,10,7.675,2.6,3.41
764,3,10,8.05,2.6,3.1
765,3,10,10.5,2.6,4.1
766,3,10,7.11,2.48,3.71
767,3,10,8.546,2.558,3.042
768,2,6,10.1,2.5,4.0
769,2,,9.55,2.55,3.43
770,2,6,8.8,2.56,3.32
771,2,6,6.8,2.6,3.0
772,2,6,12.0,2.6,3.6
773,3,10,11.1,2.6,4.0
774,3,10,9.285,2.45,3.57
775,2,6,12.6,2.56,3.6
776,3,10,12.65,2.6,4.1
777,2,6,10.9,2.6,2.66
778,2,6,7.7,2.5,3.4
779,2,,7.95,2.6,2.65
780,3,10,8.546,2.485,3.042
781,2,6,13.2,2.57,3.75
782,3,10,9.17,2.6,3.72
783,2,6,8.6,2.5,3.65
784,2,6,11.7,2.55,3.55
785,2,6,10.45,2.55,3.55
786,3,10,8.05,2.6,3.5
787,2,6,9.3,2.6,2.75
788,2,6,8.6,2.5,2.8
789,3,10,8.6,2.5,2.8
790,2,6,9.72,2.6,3.5
791,2,6,7.9,2.4,2.65
792,3,10,8.546,2.485,3.013
793,3,10,9.0,2.6,3.8
794,2,6,8.76,2.45,3.26
795,3,10,9.71,2.6,3.575
796,2,6,10.0,2.6,3.45
797,3,10,8.546,2.558,3.129
798,3,10,9.0,2.6,3.41
799,3,10,10.091,2.486,3.4
800,3,10,9.57,2.6,3.48
801,2,,8.76,2.45,3.26
802,2,6,8.32,2.38,2.76
