empresa_key,ruc_empresa,estado_ruc,tipo_contribuyente,departamento_empresa,nombre_empresa
144,20560171197,SIN VERIFICAR,SIN DATO,LIMA,CORPORACION ARIA &AMP; MELY S.A.C.
145,20482559736,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES Y TURISMO FROPESA S.A.C.
146,20498681388,SIN VERIFICAR,SIN DATO,LIMA,PROYECTOS DE INGENIERIA Y SERVICIOS S.C.R.L.
147,20454013086,SIN VERIFICAR,SIN DATO,LIMA,TOURIST CAR E.I.R.L.
148,20171827656,SIN VERIFICAR,SIN DATO,LIMA,CONDORCOCHA SOCIEDAD ANONIMA CERRADA - CONDORCOCHA S.A.C.
149,20498388834,SIN VERIFICAR,SIN DATO,LIMA,SERVICIOS E INVERSIONES TURISTICOS E.I.R.L.
150,20454631413,SIN VERIFICAR,SIN DATO,LIMA,SALAS TOURS E.I.R.L.
151,20527417342,SIN VERIFICAR,SIN DATO,LIMA,PERU DELFIN TOURS S.C.R.L.
152,20530906214,SIN VERIFICAR,SIN DATO,LIMA,JUVENTUD JUPROG S.R.L.
153,20527076928,SIN VERIFICAR,SIN DATO,LIMA,CAMBREJ TOURS E.I.R.L.
154,20448711651,SIN VERIFICAR,SIN DATO,LIMA,CORPORACION DE TRANSPORTES DESAGUADERO E.I.R.L.
155,20551885641,SIN VERIFICAR,SIN DATO,LIMA,EMTRATUR FUERZA INCA S.A.C.
156,20601905419,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTE OLGUITA TOURS S.A.C.
157,20544863160,SIN VERIFICAR,SIN DATO,LIMA,CRUCERO MIRA MAR E.I.R.L.
158,20532636745,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA TRANSPORTES TURISMO CAPRICORNIO E.I.R.L.
159,20450545512,SIN VERIFICAR,SIN DATO,LIMA,SERVICIOS TURISTICOS MILAN TOURS E.I.R.L.
160,20529466979,SIN VERIFICAR,SIN DATO,LIMA,SERVICIOS GENERALES ANITA TOURS E.I.R.L.
161,20449253621,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTE TURISTICO MONY TOURS E.I.R.L.
162,20549520406,SIN VERIFICAR,SIN DATO,LIMA,SVINTEC SOCIEDAD ANONIMA CERRADA - SVINTEC S.A.C.
163,20448748813,SIN VERIFICAR,SIN DATO,LIMA,E.T. COSI EXPRESS E.I.R.L.
164,20358948538,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE SERVICIOS MULTIPLES TUMI DE ORO S.A. - E.S.M. TUMI DE ORO S.A.
165,20601955271,SIN VERIFICAR,SIN DATO,LIMA,TURISMO GONZALES S.A.C.
166,20481157308,SIN VERIFICAR,SIN DATO,LIMA,CORPORACION ARES SERVICIOS GENERALES S.A.C.
167,20512317163,SIN VERIFICAR,SIN DATO,LIMA,FESTIVAL MUSICAL S.A.C.
168,20530687580,SIN VERIFICAR,SIN DATO,LIMA,MULTISERVICIOS GENERALES CHAVEZ & OBREGON S.A.
169,20406468683,SIN VERIFICAR,SIN DATO,LIMA,MERMA HERMANOS S.R.L.
170,20606300213,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES BAGSERVIS E.I.R.L
171,20115593791,SIN VERIFICAR,SIN DATO,LIMA,AGENCIA DE VIAJES Y TURISMO PABLO TOURS E.I.R.L.
172,20454896808,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES ELENITA TOURS E.I.R.L.
173,20533909192,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES Y TURISMO SOLITA E.I.R.L.
174,20119917698,SIN VERIFICAR,SIN DATO,LIMA,UNIVERSIDAD PRIVADA DE TACNA
175,20473930197,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA TRANSPORTES TURISMO CARHUAMAYO S.C.R.L.
176,20495932797,SIN VERIFICAR,SIN DATO,LIMA,TURISMO Y SERVICIOS GENERALES SAN FRANCISCO S.R.L.
177,20510798334,SIN VERIFICAR,SIN DATO,LIMA,COSTA DEL SOL TOURS E.I.R.L.
178,20527509387,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES PERU ANDINO TOUR E.I.R.L.
179,20481960127,SIN VERIFICAR,SIN DATO,LIMA,TRC EXPRESS S.A.C.
180,20488631161,SIN VERIFICAR,SIN DATO,LIMA,SHUMAC ALLPA S.R.L
181,20498124934,SIN VERIFICAR,SIN DATO,LIMA,CENTRAL DE VIAJES TURISMO Y AVENTURA E.I.R.L.
182,20558253275,SIN VERIFICAR,SIN DATO,LIMA,SERVICIOS Y TRANSPORTE J CAR E.I.R.L.
183,20453252532,SIN VERIFICAR,SIN DATO,LIMA,AUTOSERVICIOS SAN MARTIN S.R.L.
184,20482113720,SIN VERIFICAR,SIN DATO,LIMA,INVERSIONES CHIGNE'S E.I.R.L.
185,20600519663,SIN VERIFICAR,SIN DATO,LIMA,HORIZONTE SERVICE S.A.C.
186,20405046726,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES PANASUR E.I.R.L.
187,20498630716,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTE Y TURISMO VIRGEN DE LOS REMEDIOS E.I.R.L.
188,20601377757,SIN VERIFICAR,SIN DATO,LIMA,SERVICIOS GENERALES BRISAS DEL ANDE  S.R.L.
189,20602800599,SIN VERIFICAR,SIN DATO,LIMA,BCG BUS TRANSPORTES E.I.R.L.
190,20600321499,SIN VERIFICAR,SIN DATO,LIMA,SERVICIOS DE TRANSPORTES NOR SUR JR & PM EIRL
191,20606099691,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE SERVICIOS CAYAMUSINO EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA
192,20605200070,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES E INVERSIONES EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA
193,20600225406,SIN VERIFICAR,SIN DATO,LIMA,EXPRESS PICAFLOR TOURS S.A.C.
194,20312284171,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES BERROA ZEVALLOS E.I.R.L.
195,20604158789,SIN VERIFICAR,SIN DATO,LIMA,TOURS MARIA BELEN E.I.R.L.
196,20530985254,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES Y SERVICIOS MULTIPLES TREJO TOURS E.I.R.L.
197,20559967921,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES Y TURISMOS HUMBERTO Y GABRIEL S.A.C. - THG S.A.C.
198,20605524690,SIN VERIFICAR,SIN DATO,LIMA,EXPRESO INTERNACIONAL LOS ANDES S.A.C.
199,20601772273,SIN VERIFICAR,SIN DATO,LIMA,INVERSIONES MNG S.A.C.
200,20602717187,SIN VERIFICAR,SIN DATO,LIMA,RMF S.A.C.
201,20454993595,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES MILAN TOURS S.R.L.
202,20267269565,SIN VERIFICAR,SIN DATO,LIMA,TURISMO J.A.K.S.A
203,20601434912,SIN VERIFICAR,SIN DATO,LIMA,INTERNACIONAL TRANS-ANDINA BUS SOCIEDAD ANONIMA CERRADA
204,20548161895,SIN VERIFICAR,SIN DATO,LIMA,INVERSIONES Y REPRESENTACIONES CJR S.A.C.
205,20406627315,SIN VERIFICAR,SIN DATO,LIMA,TURISMO CAÃ‘ETE S.A.
206,20600071182,SIN VERIFICAR,SIN DATO,LIMA,CORPORACION EMTRAVESA S.A.C.
207,20602422420,SIN VERIFICAR,SIN DATO,LIMA,INVERSIONES HUACA EXPRESS S.A.C.
208,20600928831,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES Y SERVICIOS GENERALES GARCES SOCIEDAD ANONIMA CERRADA
209,20609309548,SIN VERIFICAR,SIN DATO,LIMA,INVERSIONES FRAZA BUS S.A.C.
210,20603150156,SIN VERIFICAR,SIN DATO,LIMA,PERLA DEL ANDE Y ASOCIADOS S.A.C
211,20602483763,SIN VERIFICAR,SIN DATO,LIMA,EXPRESO SOL PERU TOURS S.A.C.
212,20449144091,SIN VERIFICAR,SIN DATO,LIMA,CAÃ‘ETANO BUS S.A.
213,20608414682,SIN VERIFICAR,SIN DATO,LIMA,ARTHURD CROP E.I.R.L.
214,20603265948,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES Y NEGOCIOS GENERALES ASI ES LA VIDA EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - T&N
215,20481192804,SIN VERIFICAR,SIN DATO,LIMA,CORPORACION HORIZONTE S.A.C.
216,20201683158,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES LA PERLA DEL ALTO MAYO S.A.
217,20498472894,SIN VERIFICAR,SIN DATO,LIMA,SERVICIOS & INVERSIONES MURILLO E.I.R.L. - SERVICIOS & INVERSIONES M E.I.R.L.
218,20606995297,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTE Y SERVICIOS GENERALES JEHOVA JIREH E.I.R.L.
219,20600610725,SIN VERIFICAR,SIN DATO,LIMA,SERVICIOS Y TRANSPORTE EXPRESS PERLA DEL ORIENTE S.A.C.
220,20480628901,SIN VERIFICAR,SIN DATO,LIMA,PRODUCTOS Y SERVICIOS SOCIEDAD ANONIMA CERRADA
221,20550633621,SIN VERIFICAR,SIN DATO,LIMA,HUARI TOURS SOCIEDAD ANONIMA CERRADA
222,20607721697,SIN VERIFICAR,SIN DATO,LIMA,KC MULTIDESTINOS S.A.C.
223,20601379491,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES Y SERVICIOS J. FUENTES E.I.R.L.
224,20603373856,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES EXPRESO SAN MATEO E.I.R.L.
225,20455928711,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA DE TRANSPORTES Y TURISMO JOSE ANTONIO E.I.R.L.
226,20515480359,SIN VERIFICAR,SIN DATO,LIMA,FAMA TOURS S.A.C.
227,20481014451,SIN VERIFICAR,SIN DATO,LIMA,TRANSPORTES Y TURISMO HORIZONTE S.A.C.
228,20101022197,SIN VERIFICAR,SIN DATO,LIMA,EMPRESA SAN CRISTOBAL LINEA HUARAL S.A.
229,20603676379,SIN VERIFICAR,SIN DATO,LIMA,INTERNACIONAL GANESA E.I.R.L.
