vehiculo_id,placa,marca_modelo_key,empresa_key,tiempo_fabricacion_key,geografia_key,vehiculo_specs_key,clase_vehicular,combustible,asientos,capacidad_carga_kg,antiguedad_anios,rango_antiguedad,es_reciente,region_natural,zona_comercial,decada,fuente_datos
17,B5V964,6,11,2004.0,2,5,OMNIBUS,,,6.7,20,16-20 años,False,COSTA,LIMA,2000s,mtc_pasajeros
18,D0K956,3,12,2016.0,2,5,OMNIBUS,,,7.06,8,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
19,F5B962,2,13,2016.0,8,3,CMTA RURAL,,,1.21,8,6-10 años,False,SIERRA,CENTRO,2010s,mtc_pasajeros
20,X9V963,4,14,2017.0,4,11,CMTA RURAL,,,1.78,7,6-10 años,False,COSTA,SUR,2010s,mtc_pasajeros
21,D8L959,3,15,2017.0,6,5,OMNIBUS,,,7.93,7,6-10 años,False,COSTA,NORTE,2010s,mtc_pasajeros
22,D8L957,3,15,2017.0,2,5,OMNIBUS,,,7.95,7,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
23,B0B966,4,16,2012.0,5,11,CMTA RURAL,,,1.63,12,11-15 años,False,SIERRA,CENTRO,2010s,mtc_pasajeros
24,C5B957,1,17,2013.0,9,9,OMNIBUS,,,4.92,11,11-15 años,False,COSTA,NORTE,2010s,mtc_pasajeros
25,F4X959,1,18,2019.0,1,12,OMNIBUS,,,3.15,5,0-5 años,True,SIERRA,SUR,2010s,mtc_pasajeros
26,D3N961,3,19,2015.0,2,5,OMNIBUS,,,6.06,9,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
27,D3P969,3,19,2015.0,2,5,OMNIBUS,,,6.07,9,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
28,Z6U967,3,20,2011.0,2,9,OMNIBUS,,,5.44,13,11-15 años,False,COSTA,LIMA,2010s,mtc_pasajeros
29,V4W960,2,21,2004.0,2,13,CMTA RURAL,,,1.531,20,16-20 años,False,COSTA,LIMA,2000s,mtc_pasajeros
30,VFQ961,4,22,2019.0,4,6,CMTA RURAL,,,2.06,5,0-5 años,True,COSTA,SUR,2010s,mtc_pasajeros
31,VFR950,4,22,2019.0,6,6,CMTA RURAL,,,2.06,5,0-5 años,True,COSTA,NORTE,2010s,mtc_pasajeros
32,F6E958,1,23,2019.0,10,8,OMNIBUS,,,2.79,5,0-5 años,True,COSTA,CENTRO,2010s,mtc_pasajeros
33,F2L969,3,24,2017.0,2,5,OMNIBUS,,,5.81,7,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
34,F2U959,3,25,2020.0,2,9,OMNIBUS,,,4.21,4,0-5 años,True,COSTA,LIMA,2020s,mtc_pasajeros
35,A6D733,1,26,2007.0,2,14,OMNIBUS,,,6.0,17,16-20 años,False,COSTA,LIMA,2000s,mtc_pasajeros
36,A6D734,1,26,2007.0,2,14,OMNIBUS,,,6.0,17,16-20 años,False,COSTA,LIMA,2000s,mtc_pasajeros
37,D5K955,3,27,2015.0,2,9,OMNIBUS,,,4.4,9,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
38,D7R954,3,27,2015.0,2,9,OMNIBUS,,,4.46,9,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
39,D5J967,3,27,2015.0,2,9,OMNIBUS,,,4.4,9,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
40,D5S966,3,27,2015.0,4,9,OMNIBUS,,,4.5,9,6-10 años,False,COSTA,SUR,2010s,mtc_pasajeros
41,D5K954,3,27,2015.0,2,9,OMNIBUS,,,4.48,9,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
42,D5N964,3,27,2015.0,8,9,OMNIBUS,,,4.48,9,6-10 años,False,SIERRA,CENTRO,2010s,mtc_pasajeros
43,T9C968,1,28,2018.0,4,8,OMNIBUS,,,2.79,6,6-10 años,False,COSTA,SUR,2010s,mtc_pasajeros
44,B2K788,2,29,2011.0,2,13,CMTA RURAL,,,1.38,13,11-15 años,False,COSTA,LIMA,2010s,mtc_pasajeros
45,T9D954,1,28,2018.0,8,8,OMNIBUS,,,2.79,6,6-10 años,False,SIERRA,CENTRO,2010s,mtc_pasajeros
46,Z8P950,3,20,2012.0,1,9,OMNIBUS,,,4.6,12,11-15 años,False,SIERRA,SUR,2010s,mtc_pasajeros
47,F2Z960,1,30,2018.0,2,9,OMNIBUS,,,6.1,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
48,F2Y964,3,31,2018.0,2,5,OMNIBUS,,,5.48,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
49,F3D950,3,31,2018.0,4,5,OMNIBUS,,,5.4,6,6-10 años,False,COSTA,SUR,2010s,mtc_pasajeros
50,F2Y956,3,31,2018.0,2,5,OMNIBUS,,,5.49,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
51,D8S962,4,32,2018.0,2,6,CMTA RURAL,,,1.733,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
52,T9F960,1,33,2018.0,2,9,OMNIBUS,,,6.1,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
53,F2Y962,3,31,2018.0,1,5,OMNIBUS,,,5.49,6,6-10 años,False,SIERRA,SUR,2010s,mtc_pasajeros
54,A2P967,1,30,2010.0,4,15,OMNIBUS,,,5.765,14,11-15 años,False,COSTA,SUR,2010s,mtc_pasajeros
55,T8J962,3,34,2016.0,6,5,OMNIBUS,,,6.98,8,6-10 años,False,COSTA,NORTE,2010s,mtc_pasajeros
56,D9E968,3,35,2018.0,1,5,OMNIBUS,,,6.86,6,6-10 años,False,SIERRA,SUR,2010s,mtc_pasajeros
57,VDP959,4,36,2018.0,2,6,CMTA RURAL,,,2.08,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
58,D4P951,5,37,2015.0,2,8,OMNIBUS,,,2.79,9,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
59,D0N962,5,37,2018.0,2,12,OMNIBUS,,,2.87,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
60,VAR952,7,36,2015.0,2,6,CMTA RURAL,,,1.72,9,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
61,Z0J956,2,36,2013.0,4,3,CMTA RURAL,,,1.21,11,11-15 años,False,COSTA,SUR,2010s,mtc_pasajeros
62,BTS445,1,37,2019.0,2,14,OMNIBUS,,,6.241,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
63,ZBG954,2,36,2015.0,2,3,CMTA RURAL,,,1.21,9,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
64,VDM952,4,36,2018.0,6,6,CMTA RURAL,,,1.733,6,6-10 años,False,COSTA,NORTE,2010s,mtc_pasajeros
65,B8X955,1,37,2012.0,4,14,OMNIBUS,,,6.22,12,11-15 años,False,COSTA,SUR,2010s,mtc_pasajeros
66,ZAC964,2,36,2013.0,2,3,CMTA RURAL,,,1.21,11,11-15 años,False,COSTA,LIMA,2010s,mtc_pasajeros
67,C6U951,4,36,2014.0,2,6,CMTA RURAL,,,1.71,10,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
68,X7K958,4,36,2014.0,2,11,CMTA RURAL,,,1.67,10,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
69,VBS965,4,36,2017.0,2,6,CMTA RURAL,,,1.78,7,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
70,VAC952,2,36,2015.0,2,3,CMTA RURAL,,,1.21,9,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
71,Z0O953,2,36,2013.0,2,3,CMTA RURAL,,,1.21,11,11-15 años,False,COSTA,LIMA,2010s,mtc_pasajeros
72,F1J965,3,24,2018.0,2,5,OMNIBUS,,,5.86,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
73,F1K950,3,24,2018.0,3,5,OMNIBUS,,,5.86,6,6-10 años,False,SIERRA,SUR,2010s,mtc_pasajeros
74,W4Q968,3,38,2018.0,2,5,OMNIBUS,,,6.85,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
75,W3V964,3,38,2015.0,2,5,OMNIBUS,,,7.17,9,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
76,W4Q965,3,38,2018.0,2,5,OMNIBUS,,,6.81,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
77,W3V963,3,38,2015.0,2,5,OMNIBUS,,,7.17,9,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
78,C9A961,3,38,2013.0,4,5,OMNIBUS,,,7.24,11,11-15 años,False,COSTA,SUR,2010s,mtc_pasajeros
79,XBT952,4,39,2019.0,2,6,CMTA RURAL,,,1.76,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
80,D5R967,3,40,2016.0,1,16,OMNIBUS,,,4.44,8,6-10 años,False,SIERRA,SUR,2010s,mtc_pasajeros
81,CBG081,3,41,2019.0,4,10,OMNIBUS,,,2.26,5,0-5 años,True,COSTA,SUR,2010s,mtc_pasajeros
82,BZI316,8,42,2019.0,2,7,OMNIBUS,,,3.65,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
83,BZJ174,8,42,2019.0,8,7,OMNIBUS,,,3.65,5,0-5 años,True,SIERRA,CENTRO,2010s,mtc_pasajeros
84,BZJ021,8,42,2019.0,2,7,OMNIBUS,,,3.65,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
85,B8F967,5,42,2012.0,2,8,OMNIBUS,,,2.93,12,11-15 años,False,COSTA,LIMA,2010s,mtc_pasajeros
86,B7T966,5,42,2012.0,2,8,OMNIBUS,,,2.93,12,11-15 años,False,COSTA,LIMA,2010s,mtc_pasajeros
87,BZY611,8,42,2019.0,6,7,OMNIBUS,,,3.65,5,0-5 años,True,COSTA,NORTE,2010s,mtc_pasajeros
88,BZH069,8,42,2019.0,2,7,OMNIBUS,,,3.65,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
89,BZX451,8,42,2019.0,2,7,OMNIBUS,,,3.65,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
90,BZX325,8,42,2019.0,2,7,OMNIBUS,,,3.65,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
91,BZX323,8,42,2019.0,2,7,OMNIBUS,,,3.65,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
92,BZW063,8,42,2020.0,4,7,OMNIBUS,,,3.65,4,0-5 años,True,COSTA,SUR,2020s,mtc_pasajeros
93,BZW078,8,42,2020.0,2,7,OMNIBUS,,,3.65,4,0-5 años,True,COSTA,LIMA,2020s,mtc_pasajeros
94,BZI492,8,42,2019.0,2,7,OMNIBUS,,,3.65,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
95,BZI484,8,42,2019.0,2,7,OMNIBUS,,,3.65,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
96,BZH426,8,42,2019.0,4,7,OMNIBUS,,,3.65,5,0-5 años,True,COSTA,SUR,2010s,mtc_pasajeros
97,B8C956,5,42,2012.0,2,8,OMNIBUS,,,2.93,12,11-15 años,False,COSTA,LIMA,2010s,mtc_pasajeros
98,B7S952,5,42,2012.0,2,8,OMNIBUS,,,2.93,12,11-15 años,False,COSTA,LIMA,2010s,mtc_pasajeros
99,CAB276,8,42,2019.0,2,7,OMNIBUS,,,3.65,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
100,CAB233,8,42,2019.0,11,7,OMNIBUS,,,3.65,5,0-5 años,True,COSTA,NORTE,2010s,mtc_pasajeros
101,BZI524,8,42,2019.0,9,7,OMNIBUS,,,3.65,5,0-5 años,True,COSTA,NORTE,2010s,mtc_pasajeros
102,BZH416,8,42,2019.0,4,7,OMNIBUS,,,3.65,5,0-5 años,True,COSTA,SUR,2010s,mtc_pasajeros
103,B8G950,5,42,2012.0,2,8,OMNIBUS,,,2.93,12,11-15 años,False,COSTA,LIMA,2010s,mtc_pasajeros
104,B8E951,5,42,2012.0,10,8,OMNIBUS,,,2.93,12,11-15 años,False,COSTA,CENTRO,2010s,mtc_pasajeros
105,BZX322,8,42,2019.0,1,7,OMNIBUS,,,3.65,5,0-5 años,True,SIERRA,SUR,2010s,mtc_pasajeros
106,BZW238,8,42,2019.0,6,7,OMNIBUS,,,3.65,5,0-5 años,True,COSTA,NORTE,2010s,mtc_pasajeros
107,BZM289,8,42,2019.0,2,7,OMNIBUS,,,3.65,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
108,BZG684,8,42,2019.0,2,7,OMNIBUS,,,3.65,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
109,BZI422,8,42,2020.0,2,7,OMNIBUS,,,3.65,4,0-5 años,True,COSTA,LIMA,2020s,mtc_pasajeros
110,B7U950,5,42,2012.0,9,8,OMNIBUS,,,2.93,12,11-15 años,False,COSTA,NORTE,2010s,mtc_pasajeros
111,BZW242,8,42,2020.0,2,7,OMNIBUS,,,3.65,4,0-5 años,True,COSTA,LIMA,2020s,mtc_pasajeros
112,B8F965,5,42,2012.0,2,8,OMNIBUS,,,2.93,12,11-15 años,False,COSTA,LIMA,2010s,mtc_pasajeros
113,BZZ080,8,42,2020.0,2,7,OMNIBUS,,,3.65,4,0-5 años,True,COSTA,LIMA,2020s,mtc_pasajeros
114,BZX405,8,42,2020.0,2,7,OMNIBUS,,,3.65,4,0-5 años,True,COSTA,LIMA,2020s,mtc_pasajeros
115,BZX321,8,42,2020.0,2,7,OMNIBUS,,,3.65,4,0-5 años,True,COSTA,LIMA,2020s,mtc_pasajeros
116,BZI315,8,42,2019.0,3,7,OMNIBUS,,,3.65,5,0-5 años,True,SIERRA,SUR,2010s,mtc_pasajeros
117,BZH417,8,42,2020.0,6,7,OMNIBUS,,,3.65,4,0-5 años,True,COSTA,NORTE,2020s,mtc_pasajeros
118,F2X969,4,43,2018.0,6,6,CMTA RURAL,,,1.805,6,6-10 años,False,COSTA,NORTE,2010s,mtc_pasajeros
119,B5B962,4,44,2011.0,2,11,CMTA RURAL,,,1.71,13,11-15 años,False,COSTA,LIMA,2010s,mtc_pasajeros
120,F2X955,4,43,2018.0,4,6,CMTA RURAL,,,1.805,6,6-10 años,False,COSTA,SUR,2010s,mtc_pasajeros
121,BAE892,3,43,2018.0,2,9,OMNIBUS,,,4.43,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
122,F2V959,4,43,2018.0,4,6,CMTA RURAL,,,1.805,6,6-10 años,False,COSTA,SUR,2010s,mtc_pasajeros
123,X4W044,4,45,2019.0,2,10,CMTA RURAL,,,1.92,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
124,C4C955,3,46,2012.0,2,5,OMNIBUS,,,7.19,12,11-15 años,False,COSTA,LIMA,2010s,mtc_pasajeros
125,D5B968,3,46,2016.0,2,5,OMNIBUS,,,7.02,8,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
126,B0K950,3,46,2012.0,2,5,OMNIBUS,,,8.0,12,11-15 años,False,COSTA,LIMA,2010s,mtc_pasajeros
127,D1J957,3,46,2014.0,2,5,OMNIBUS,,,7.28,10,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
128,B8P953,4,47,2012.0,2,11,CMTA RURAL,,,1.63,12,11-15 años,False,COSTA,LIMA,2010s,mtc_pasajeros
129,D0U950,3,46,2017.0,2,5,OMNIBUS,,,6.9,7,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
130,B0O961,3,46,2012.0,2,5,OMNIBUS,,,8.0,12,11-15 años,False,COSTA,LIMA,2010s,mtc_pasajeros
131,V5R964,4,48,2012.0,2,13,CMTA RURAL,,,1.16,12,11-15 años,False,COSTA,LIMA,2010s,mtc_pasajeros
132,B9Y967,3,46,2007.0,7,5,OMNIBUS,,,6.69,17,16-20 años,False,COSTA,SUR,2000s,mtc_pasajeros
133,B8W951,3,49,2011.0,2,17,OMNIBUS,,,14.4,13,11-15 años,False,COSTA,LIMA,2010s,mtc_pasajeros
134,B8W969,3,49,2011.0,2,17,OMNIBUS,,,14.4,13,11-15 años,False,COSTA,LIMA,2010s,mtc_pasajeros
135,F1L964,3,11,2018.0,2,5,OMNIBUS,,,6.75,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
136,F3C959,1,50,2019.0,2,18,OMNIBUS,,,2.9,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
137,T9E968,1,33,2018.0,11,9,OMNIBUS,,,6.18,6,6-10 años,False,COSTA,NORTE,2010s,mtc_pasajeros
138,F3E957,1,50,2019.0,2,18,OMNIBUS,,,2.9,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
139,F2W966,3,31,2018.0,1,5,OMNIBUS,,,5.49,6,6-10 años,False,SIERRA,SUR,2010s,mtc_pasajeros
140,B0R967,4,51,2012.0,2,11,CMTA RURAL,,,1.682,12,11-15 años,False,COSTA,LIMA,2010s,mtc_pasajeros
141,V9U952,4,52,2013.0,2,6,CMTA RURAL,,,1.73,11,11-15 años,False,COSTA,LIMA,2010s,mtc_pasajeros
142,ZCW969,2,52,2018.0,2,3,CMTA RURAL,,,1.21,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
143,F6S965,3,53,2019.0,12,5,OMNIBUS,,,8.66,5,0-5 años,True,SIERRA,NORTE,2010s,mtc_pasajeros
144,VCE956,2,54,2017.0,2,3,CMTA RURAL,,,1.21,7,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
145,X5J366,3,55,2019.0,2,10,OMNIBUS,,,2.26,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
146,ZDC968,2,54,2019.0,2,3,CMTA RURAL,,,1.21,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
147,VEC957,2,54,2018.0,2,3,CMTA RURAL,,,1.36,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
148,ZDC969,2,54,2019.0,2,3,CMTA RURAL,,,1.21,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
149,XBS962,4,56,2019.0,2,10,CMTA RURAL,,,1.92,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
150,V9O955,4,57,2014.0,2,19,CMTA RURAL,,,1.23,10,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
151,F3I964,4,58,2018.0,8,6,CMTA RURAL,,,1.77,6,6-10 años,False,SIERRA,CENTRO,2010s,mtc_pasajeros
152,BUV221,3,59,2018.0,9,5,OMNIBUS,,,6.73,6,6-10 años,False,COSTA,NORTE,2010s,mtc_pasajeros
153,F3I965,4,58,2018.0,2,6,CMTA RURAL,,,1.733,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
154,BUW393,3,59,2018.0,2,5,OMNIBUS,,,6.72,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
155,D8M953,3,60,2016.0,2,5,OMNIBUS,,,6.18,8,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
156,D8M954,3,60,2016.0,4,5,OMNIBUS,,,5.99,8,6-10 años,False,COSTA,SUR,2010s,mtc_pasajeros
157,T8D952,3,24,2016.0,2,5,OMNIBUS,,,5.91,8,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
158,T8C969,3,24,2016.0,4,5,OMNIBUS,,,6.94,8,6-10 años,False,COSTA,SUR,2010s,mtc_pasajeros
159,T8D951,3,24,2016.0,6,5,OMNIBUS,,,5.93,8,6-10 años,False,COSTA,NORTE,2010s,mtc_pasajeros
160,T8C963,3,24,2016.0,6,5,OMNIBUS,,,7.01,8,6-10 años,False,COSTA,NORTE,2010s,mtc_pasajeros
161,T9H957,1,33,2019.0,2,8,OMNIBUS,,,3.15,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
162,T9H955,1,33,2019.0,7,8,OMNIBUS,,,3.15,5,0-5 años,True,COSTA,SUR,2010s,mtc_pasajeros
163,T9H954,1,33,2019.0,2,8,OMNIBUS,,,3.15,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
164,T9H953,1,33,2019.0,2,8,OMNIBUS,,,3.15,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
165,VBR966,4,61,2017.0,2,6,CMTA RURAL,,,1.78,7,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
166,BWX121,2,62,2020.0,2,3,CMTA RURAL,,,1.21,4,0-5 años,True,COSTA,LIMA,2020s,mtc_pasajeros
167,D0W962,3,38,2018.0,8,5,OMNIBUS,,,6.67,6,6-10 años,False,SIERRA,CENTRO,2010s,mtc_pasajeros
168,F2C962,3,63,2017.0,8,5,OMNIBUS,,,5.81,7,6-10 años,False,SIERRA,CENTRO,2010s,mtc_pasajeros
169,D0X951,3,38,2018.0,2,5,OMNIBUS,,,6.47,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
170,F6Q955,1,64,2018.0,11,9,OMNIBUS,,,5.03,6,6-10 años,False,COSTA,NORTE,2010s,mtc_pasajeros
171,F6E961,4,23,2019.0,2,6,CMTA RURAL,,,1.76,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
172,F6E953,4,23,2019.0,2,6,CMTA RURAL,,,1.76,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
173,VES966,4,65,2019.0,2,6,CMTA RURAL,,,1.733,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
174,F6C969,4,23,2019.0,7,6,CMTA RURAL,,,1.76,5,0-5 años,True,COSTA,SUR,2010s,mtc_pasajeros
175,X0G958,4,66,2017.0,2,13,CMTA RURAL,,,1.235,7,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
176,F3I960,4,58,2018.0,2,6,CMTA RURAL,,,1.77,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
177,F6D965,3,5,2018.0,2,9,OMNIBUS,,,4.91,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
178,F6D954,3,5,2018.0,13,9,OMNIBUS,,,4.89,6,6-10 años,False,SIERRA,CENTRO,2010s,mtc_pasajeros
179,F6C962,3,5,2018.0,9,9,OMNIBUS,,,4.9,6,6-10 años,False,COSTA,NORTE,2010s,mtc_pasajeros
180,F6C955,3,5,2018.0,6,9,OMNIBUS,,,5.69,6,6-10 años,False,COSTA,NORTE,2010s,mtc_pasajeros
181,F6D966,3,5,2018.0,14,9,OMNIBUS,,,5.0,6,6-10 años,False,COSTA,NORTE,2010s,mtc_pasajeros
182,F6C965,3,5,2018.0,9,9,OMNIBUS,,,5.67,6,6-10 años,False,COSTA,NORTE,2010s,mtc_pasajeros
183,F5Z956,1,5,2019.0,2,12,OMNIBUS,,,2.72,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
184,F6A967,4,5,2019.0,2,6,CMTA RURAL,,,2.06,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
185,F6B957,3,5,2018.0,6,9,OMNIBUS,,,4.92,6,6-10 años,False,COSTA,NORTE,2010s,mtc_pasajeros
186,F6A950,4,5,2019.0,4,6,CMTA RURAL,,,2.06,5,0-5 años,True,COSTA,SUR,2010s,mtc_pasajeros
187,F6A960,1,5,2019.0,2,12,OMNIBUS,,,2.72,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
188,F6U957,4,67,2019.0,2,10,CMTA RURAL,,,1.92,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
189,F6U968,4,67,2019.0,6,10,CMTA RURAL,,,1.92,5,0-5 años,True,COSTA,NORTE,2010s,mtc_pasajeros
190,F6B961,3,5,2018.0,2,9,OMNIBUS,,,5.67,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
191,F6A957,3,5,2018.0,12,9,OMNIBUS,,,5.08,6,6-10 años,False,SIERRA,NORTE,2010s,mtc_pasajeros
192,F6B969,3,5,2018.0,2,9,OMNIBUS,,,5.77,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
193,F6B958,3,5,2018.0,2,9,OMNIBUS,,,4.99,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
194,F6C956,3,5,2018.0,8,9,OMNIBUS,,,5.0,6,6-10 años,False,SIERRA,CENTRO,2010s,mtc_pasajeros
195,F6C954,3,5,2018.0,2,9,OMNIBUS,,,5.77,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
196,F6C964,3,5,2018.0,2,9,OMNIBUS,,,5.77,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
197,F6A959,1,5,2019.0,2,12,OMNIBUS,,,2.72,5,0-5 años,True,COSTA,LIMA,2010s,mtc_pasajeros
198,F6A961,4,5,2019.0,14,6,CMTA RURAL,,,2.06,5,0-5 años,True,COSTA,NORTE,2010s,mtc_pasajeros
199,F6D964,3,5,2018.0,2,9,OMNIBUS,,,5.04,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
200,F6B959,3,5,2018.0,2,9,OMNIBUS,,,4.95,6,6-10 años,False,COSTA,LIMA,2010s,mtc_pasajeros
