marca_modelo_key,marca_normalizada,marca_grupo,modelo_inferido,segmento
80,MERCEDES-BENZ,MB,40612110125054,MICROBUS
81,MERCEDES-BENZ,MB,35810115154198,MICROBUS
82,MERCEDES-BENZ,MB,35810115153359,MICROBUS
83,MERCEDES-BENZ,MB,35810115152664,MICROBUS
84,MERCEDES-BENZ,MB,41611410098528,DESCONOCIDO
85,MERCEDES-BENZ,MB,41611510C29964,DESCONOCIDO
86,MERCEDES-BENZ,MB,41614110096427,DESCONOCIDO
87,MERCEDES-BENZ,MB,41631010001380,DESCONOCIDO
88,MERCEDES-BENZ,MB,41631010001402,MICROBUS
89,MERCEDES-BENZ,MB,42612410000754,DESCONOCIDO
90,MERCEDES-BENZ,MB,42612410000874,DESCONOCIDO
91,MERCEDES-BENZ,MB,42612410001,MICROBUS
92,MERCEDES-BENZ,MB,42612410001010,DESCONOCIDO
93,MERCEDES-BENZ,MB,42612410001017,MICROBUS
94,MERCEDES-BENZ,MB,42612410001128,DESCONOCIDO
95,MERCEDES-BENZ,MB,42612410001333,MICROBUS
96,MERCEDES-BENZ,MB,42612410001342,DESCONOCIDO
97,MERCEDES-BENZ,MB,44111810000839,MICROBUS
98,MERCEDES-BENZ,MB,61704915115865,MICROBUS
99,MERCEDES-BENZ,MB,61741815155033,MICROBUS
100,MERCEDES-BENZ,MB,620016115140860,MICROBUS
101,MERCEDES-BENZ,MB,624032-14849819,DESCONOCIDO
102,MERCEDES-BENZ,MB,624032-14-850456,DESCONOCIDO
103,MERCEDES-BENZ,MB,62403214853482,MICROBUS
104,MERCEDES-BENZ,MB,35131312086569,MICROBUS
105,MERCEDES-BENZ,MB,35282010382825,MICROBUS
106,MERCEDES-BENZ,MB,62403214855901,DESCONOCIDO
107,MERCEDES-BENZ,MB,624131-14-849373,DESCONOCIDO
108,MERCEDES-BENZ,MB,62433415144304,DESCONOCIDO
109,MERCEDES-BENZ,MB,62433415145298,DESCONOCIDO
110,MERCEDES-BENZ,MB,84111710012149,MICROBUS
111,MERCEDES-BENZ,MB,853574,DESCONOCIDO
112,MERCEDES-BENZ,MB,856212,DESCONOCIDO
113,MERCEDES-BENZ,MB,ATEGO ESPECIAL,DESCONOCIDO
114,MERCEDES-BENZ,MB,35108712086893,MICROBUS
115,MERCEDES-BENZ,MB,35131212086774,MICROBUS
116,MERCEDES-BENZ,MB,35131212086775,MICROBUS
117,MERCEDES-BENZ,MB,35131212086560,MICROBUS
118,MERCEDES-BENZ,MB,35131212087048,MICROBUS
119,MERCEDES-BENZ,MB,35810110681367,MICROBUS
120,MERCEDES-BENZ,MB,34111810010708,MICROBUS
121,MERCEDES-BENZ,MB,35130315004805,MICROBUS
122,MERCEDES-BENZ,MB,35130315004848,MICROBUS
123,MERCEDES-BENZ,MB,35130315005914,DESCONOCIDO
124,MERCEDES-BENZ,MB,35131212085792,MICROBUS
125,MERCEDES-BENZ,MB,35131212085676,MICROBUS
126,MERCEDES-BENZ,MB,35310210719523,MICROBUS
127,MERCEDES-BENZ,MB,35810110670613,DESCONOCIDO
128,MERCEDES-BENZ,MB,34111810010705,MICROBUS
129,MERCEDES-BENZ,MB,34901110600151,MICROBUS
130,MERCEDES-BENZ,MB,34901110600158,MICROBUS
131,MERCEDES-BENZ,MB,35810110671953,MICROBUS
132,MERCEDES-BENZ,MB,34500812554489,MICROBUS
133,MERCEDES-BENZ,MB,1MBZB76A3GN673397,MICROBUS
134,MERCEDES-BENZ,MB,ACTROS,MICROBUS
135,MERCEDES-BENZ,MB,ACTROS,DESCONOCIDO
136,MERCEDES-BENZ,MB,35130215006450,MICROBUS
137,MERCEDES-BENZ,MB,98M688133WB179128,MICROBUS
138,MERCEDES-BENZ,MB,LO SERIES,DESCONOCIDO
139,MERCEDES-BENZ,MB,LO SERIES,MICROBUS
140,MERCEDES-BENZ,MB,9BM366014MB904887,MICROBUS
141,MERCEDES-BENZ,MB,9BM38364BM934741,DESCONOCIDO
142,MERCEDES-BENZ,MB,ATEGO,MICROBUS
143,MERCEDES-BENZ,MB,34510312542013,DESCONOCIDO
144,MERCEDES-BENZ,MB,34510212601842,MICROBUS
145,MERCEDES-BENZ,MB,34404412631204,MICROBUS
146,MERCEDES-BENZ,MB,OF SERIES,MICROBUS
147,MERCEDES-BENZ,MB,OF SERIES,DESCONOCIDO
148,MERCEDES-BENZ,MB,9BM658154LB145818,MICROBUS
149,MERCEDES-BENZ,MB,34510212569700,DESCONOCIDO
150,MERCEDES-BENZ,MB,-,MICROBUS
151,MERCEDES-BENZ,MB,34530512629571,MICROBUS
152,MERCEDES-BENZ,MB,34512112601477,MICROBUS
153,MERCEDES-BENZ,MB,34510212601415,MICROBUS
154,MERCEDES-BENZ,MB,34901110600150,MICROBUS
155,MERCEDES-BENZ,MB,34786410003388,MICROBUS
156,MERCEDES-BENZ,MB,34543312647434,MICROBUS
157,MERCEDES-BENZ,MB,34111710011962,MICROBUS
158,MERCEDES-BENZ,MB,34530312665874,MICROBUS
159,MERCEDES-BENZ,MB,34500312598739,MICROBUS
160,RENAULT,RN,KANGOO,MICROBUS
161,MERCEDES-BENZ,MB,1MBZB33A5EN634403,MICROBUS
162,MERCEDES-BENZ,MB,31805414298952,DESCONOCIDO
163,MERCEDES-BENZ,MB,34111810010,MICROBUS
164,MERCEDES-BENZ,MB,341118100105,MICROBUS
165,MERCEDES-BENZ,MB,34104210060093,MICROBUS
166,MERCEDES-BENZ,MB,34111810010761,MICROBUS
167,MERCEDES-BENZ,MB,34181110016515,MICROBUS
168,MERCEDES-BENZ,MB,34510212561610,MICROBUS
169,MERCEDES-BENZ,MB,34510212600998,DESCONOCIDO
170,MERCEDES-BENZ,MB,30830212647274,MICROBUS
171,MERCEDES-BENZ,MB,30830212647896,MICROBUS
172,MERCEDES-BENZ,MB,30830212598947,DESCONOCIDO
173,MERCEDES-BENZ,MB,30830212559708,MICROBUS
174,MERCEDES-BENZ,MB,31405210747527,MICROBUS
175,MERCEDES-BENZ,MB,31340410379057,DESCONOCIDO
176,MERCEDES-BENZ,MB,31605110765018,MICROBUS
177,MERCEDES-BENZ,MB,30938210029858,MICROBUS
178,MERCEDES-BENZ,MB,30830212647336,MICROBUS
179,MERCEDES-BENZ,MB,30830212647282,DESCONOCIDO
180,MERCEDES-BENZ,MB,31040410312485,MICROBUS
181,MERCEDES-BENZ,MB,30830212559933,MICROBUS
182,MERCEDES-BENZ,MB,23200050011179,DESCONOCIDO
183,MERCEDES-BENZ,MB,334060001045,MICROBUS
184,MERCEDES-BENZ,MB,34500312599277,MICROBUS
185,MERCEDES-BENZ,MB,9BMS688123PB001014,DESCONOCIDO
186,MERCEDES-BENZ,MB,9BN345003GB709254,DESCONOCIDO
187,MERCEDES-BENZ,MB,9MB386043RB024578,DESCONOCIDO
188,MERCEDES-BENZ,MB,9RM688123MB926613,MICROBUS
189,MERCEDES-BENZ,MB,BM688123LB880353,MICROBUS
190,MERCEDES-BENZ,MB,DTW015L175101761,MICROBUS
191,MERCEDES-BENZ,MB,DTW015L175103211,MICROBUS
192,MERCEDES-BENZ,MB,FM515J500333,MICROBUS
193,MERCEDES-BENZ,MB,IMBZB76A8FN672079,MICROBUS
194,MERCEDES-BENZ,MB,KPD6612271P040237,DESCONOCIDO
195,MERCEDES-BENZ,MB,NMB37133855014708,MICROBUS
196,MERCEDES-BENZ,MB,NMB37537412028187,MICROBUS
197,MERCEDES-BENZ,MB,NMB37537412049995,MICROBUS
198,MERCEDES-BENZ,MB,NMB94216512142896,MICROBUS
199,MERCEDES-BENZ,MB,NMB94216512168521,MICROBUS
200,MERCEDES-BENZ,MB,32286310228583,MICROBUS
201,MERCEDES-BENZ,MB,31605214635962,MICROBUS
202,MERCEDES-BENZ,MB,1MBZB76A1HN713932,DESCONOCIDO
203,MERCEDES-BENZ,MB,1MBZB82A0HN743337,MICROBUS
204,MERCEDES-BENZ,MB,34111810010629,MICROBUS
205,MERCEDES-BENZ,MB,34500312560226,MICROBUS
206,MERCEDES-BENZ,MB,3343109500021,DESCONOCIDO
207,MERCEDES-BENZ,MB,34401412635144,MICROBUS
208,MERCEDES-BENZ,MB,34102710045991,MICROBUS
209,MERCEDES-BENZ,MB,34000352014891,MICROBUS
210,MERCEDES-BENZ,MB,3360011010000840,MICROBUS
211,MERCEDES-BENZ,MB,3360011000151,MICROBUS
212,MERCEDES-BENZ,MB,33600110000570,MICROBUS
213,MERCEDES-BENZ,MB,337002001378,MICROBUS
214,MERCEDES-BENZ,MB,34000352014873,DESCONOCIDO
215,MERCEDES-BENZ,MB,34046650,MICROBUS
216,MERCEDES-BENZ,MB,33600110001522,MICROBUS
217,RENAULT,RN,TRAFIC,MICROBUS
218,MERCEDES-BENZ,MB,AROCS,MICROBUS
219,MERCEDES-BENZ,MB,34500312600290,DESCONOCIDO
220,MERCEDES-BENZ,MB,W1T96403110523882,MICROBUS
221,MERCEDES-BENZ,MB,34500212641318,MICROBUS
222,MERCEDES-BENZ,MB,34501312370801,DESCONOCIDO
223,MERCEDES-BENZ,MB,34502112635893,MICROBUS
224,MERCEDES-BENZ,MB,34500312560222,MICROBUS
225,MERCEDES-BENZ,MB,34500312600289,MICROBUS
226,MERCEDES-BENZ,MB,34500312599591,MICROBUS
227,MERCEDES-BENZ,MB,34500312599946,DESCONOCIDO
228,MERCEDES-BENZ,MB,34505011587972,MICROBUS
229,MERCEDES-BENZ,MB,34500312600000,MICROBUS
230,MERCEDES-BENZ,MB,32210110601677,MICROBUS
231,MERCEDES-BENZ,MB,34510212569769,MICROBUS
232,MERCEDES-BENZ,MB,9BM6940007B499748,MICROBUS
233,MERCEDES-BENZ,MB,9BM694024VB108335,MICROBUS
234,MERCEDES-BENZ,MB,34111710013301,MICROBUS
235,MERCEDES-BENZ,MB,345-103-12-542003,DESCONOCIDO
236,MERCEDES-BENZ,MB,34512112617791,DESCONOCIDO
237,MERCEDES-BENZ,MB,34500312600171,MICROBUS
238,MERCEDES-BENZ,MB,AXOR,MICROBUS
239,MERCEDES-BENZ,MB,AXOR,DESCONOCIDO
240,MERCEDES-BENZ,MB,1MBZB82A3MN880119,MICROBUS
241,MERCEDES-BENZ,MB,34500312560219,MICROBUS
242,MERCEDES-BENZ,MB,1MBZB82A7JN757404,MICROBUS
243,MERCEDES-BENZ,MB,34111710012561,MICROBUS
244,MERCEDES-BENZ,MB,312022150807,DESCONOCIDO
245,MERCEDES-BENZ,MB,31605110905747,DESCONOCIDO
246,MERCEDES-BENZ,MB,34111710012297,MICROBUS
247,MERCEDES-BENZ,MB,32800252035602,MICROBUS
248,MERCEDES-BENZ,MB,34505011629329,MICROBUS
249,MERCEDES-BENZ,MB,34111710012278,MICROBUS
250,MERCEDES-BENZ,MB,32210110601414,MICROBUS
251,MERCEDES-BENZ,MB,34542012585797,MICROBUS
252,MERCEDES-BENZ,MB,34111810010638,DESCONOCIDO
253,MERCEDES-BENZ,MB,35131212086108,MICROBUS
254,MERCEDES-BENZ,MB,34500312598747,MICROBUS
255,MERCEDES-BENZ,MB,34512112598284,DESCONOCIDO
256,MERCEDES-BENZ,MB,34510312652538,DESCONOCIDO
257,MERCEDES-BENZ,MB,34111710012766,MICROBUS
258,MERCEDES-BENZ,MB,1WBZ882A2JN761053,MICROBUS
259,MERCEDES-BENZ,MB,30830212647289,MICROBUS
260,MERCEDES-BENZ,MB,32210110603983,MICROBUS
261,MERCEDES-BENZ,MB,32210110601764,MICROBUS
262,MERCEDES-BENZ,MB,34500312599492,MICROBUS
263,MERCEDES-BENZ,MB,34505011636567,MICROBUS
264,MERCEDES-BENZ,MB,34413314000108,MICROBUS
265,MERCEDES-BENZ,MB,WDE65846315583479,MICROBUS
266,MERCEDES-BENZ,MB,DESCONOCIDO,MICROBUS
267,MERCEDES-BENZ,MB,9BM308325JB816163,MICROBUS
268,MERCEDES-BENZ,MB,W1T96420710491800,DESCONOCIDO
269,MERCEDES-BENZ,MB,AROCS,DESCONOCIDO
270,MERCEDES-BENZ,MB,9BN345302JB793847,DESCONOCIDO
271,MERCEDES-BENZ,MB,42612410000908,DESCONOCIDO
272,MERCEDES-BENZ,MB,41611510029946,DESCONOCIDO
273,MERCEDES-BENZ,MB,39532614946113,DESCONOCIDO
274,MERCEDES-BENZ,MB,37839011003369,DESCONOCIDO
275,MERCEDES-BENZ,MB,35131212086626,DESCONOCIDO
276,MERCEDES-BENZ,MB,35131212086294,DESCONOCIDO
277,MERCEDES-BENZ,MB,32210110603865,DESCONOCIDO
278,MERCEDES-BENZ,MB,W1E9XXAE6R0745668,MICROBUS
279,MERCEDES-BENZ,MB,34111710011711,MICROBUS
280,MERCEDES-BENZ,MB,W1T964231PB292591,MICROBUS
281,MERCEDES-BENZ,MB,341118100100751,MICROBUS
282,MERCEDES-BENZ,MB,34111710011680,MICROBUS
283,MERCEDES-BENZ,MB,62403214855901,MICROBUS
